child_name,parent_name
Anencephaly,Anencephaly and similar
Craniorachischisis,Anencephaly and similar
Iniencephaly,Anencephaly and similar
Frontal encephalocele,Encephalocele and meningocele
Nasofrontal encephalocele,Encephalocele and meningocele
Occipital encephalocele,Encephalocele and meningocele
Encephalocele of other sites,Encephalocele and meningocele
Encephalocele unspecified,Encephalocele and meningocele
Cervical spina bifida with hydrocephalus,Spina Bifida
Thoracic spina bifida with hydrocephalus,Spina Bifida
Lumbar spina bifida with hydrocephalus,Spina Bifida
Sacral spina bifida with hydrocephalus,Spina Bifida
Unspecified spina bifida with hydrocephalus,Spina Bifida
Cervical spina bifida without hydrocephalus,Spina Bifida
Thoracic spina bifida without hydrocephalus,Spina Bifida
Lumbar spina bifida without hydrocephalus,Spina Bifida
Sacral spina bifida without hydrocephalus,Spina Bifida
Spina bifida unspecified,Spina Bifida
Malformations of aqueduct of Sylvius,Hydrocephaly
Atresia of foramina of Magendie and Luschka,Hydrocephaly
Other congenital hydrocephalus,Hydrocephaly
Congenital hydrocephalus unspecified,Hydrocephaly
Severe microcephaly,Nervous system anomalies
Arhinencephaly,Arhinencephaly holoprosencephaly
Holoprosencephaly,Arhinencephaly holoprosencephaly
Congenital malformations of corpus callosum,Other congenital malformations of brain
Agenesis of corpus callosum,Other congenital malformations of brain
Other reduction deformities of brain,Other congenital malformations of brain
Septooptic dysplasia,Other congenital malformations of brain
Megalencephaly,Other congenital malformations of brain
Congenital cerebral cysts,Other congenital malformations of brain
Other specified congenital malformations of brain,Other congenital malformations of brain
Congenital malformation of brain unspecified,Other congenital malformations of brain
Amyelia,Other congenital malformations of spinal cord
Hypoplasia and dysplasia of spinal cord,Other congenital malformations of spinal cord
Diastematomyelia,Other congenital malformations of spinal cord
Other congenital cauda equina malformations,Other congenital malformations of spinal cord
Hydromyelia,Other congenital malformations of spinal cord
Other specified congenital malformations of spinal cord,Other congenital malformations of spinal cord
Congenital malformation of spinal cord unspecified,Other congenital malformations of spinal cord
ArnoldChiari syndrome,Other congenital malformations of nervous system
Other specified congenital malformations of nervous system,Other congenital malformations of nervous system
Congenital malformation of nervous system unspecified,Other congenital malformations of nervous system
Congenital ptosis,Congenital malformations of eyelid lacrimal apparatus and orbit
Absence and agenesis of lacrimal apparatus,Congenital malformations of eyelid lacrimal apparatus and orbit
Other congenital malformations of lacrimal apparatus,Congenital malformations of eyelid lacrimal apparatus and orbit
Congenital malformation of orbit,Congenital malformations of eyelid lacrimal apparatus and orbit
Anophthalmos,Anophthalmos microphthalmos
Microphtalmos,Anophthalmos microphthalmos
Macrophtalmos,Anophtalmos microphtalmos and macrophtalmos
Congenital cataract,Congenital lens malformations
Congenital displaced lens,Congenital lens malformations
Coloboma of lens,Congenital lens malformations
Congenital aphakia,Congenital lens malformations
Spherophakia,Congenital lens malformations
Other congenital lens malformations,Congenital lens malformations
Congenital lens malformation unspecified,Congenital lens malformations
Coloboma of iris,Congenital malformations of anterior segment of eye
Absence of iris,Congenital malformations of anterior segment of eye
Other congenital malformations of iris,Congenital malformations of anterior segment of eye
Congenital corneal opacity,Congenital malformations of anterior segment of eye
Other congenital corneal malformations,Congenital malformations of anterior segment of eye
Other congenital malformations of anterior segment of eye,Congenital malformations of anterior segment of eye
Congenital malformation of anterior segment of eye unspecified,Congenital malformations of anterior segment of eye
Congenital malformation of vitreous humour,Congenital malformations of posterior segment of eye
Congenital malformation of retina,Congenital malformations of posterior segment of eye
Congenital malformation of optic disc,Congenital malformations of posterior segment of eye
Congenital malformation of choroid,Congenital malformations of posterior segment of eye
Other congenital malformations of posterior segment of eye,Congenital malformations of posterior segment of eye
Congenital malformation of posterior segment of eye unspecified,Congenital malformations of posterior segment of eye
Congenital glaucoma,Other congenital malformations of eye
Other specified congenital malformations of eye,Other congenital malformations of eye
Congenital malformation of eye unspecified,Other congenital malformations of eye
Congenital absence of ear auricle,Anotia and atresia stenosis stricture of external auditory canal
Congenital absence atresia and stricture of auditory canal external,Anotia and atresia stenosis stricture of external auditory canal
Absence of eustachian tube,Congenital malformations of ear causing impairment of hearing
Congenital malformation of ear ossicles,Congenital malformations of ear causing impairment of hearing
Other congenital malformations of middle ear,Congenital malformations of ear causing impairment of hearing
Congenital malformation of inner ear,Congenital malformations of ear causing impairment of hearing
Congenital malformation of ear causing impairment of hearing unspecified,Congenital malformations of ear causing impairment of hearing
Other specified congenital malformations of ear,Ear face and neck anomalies
